"name","lat","lon","sector"
"Naval Postgraduate School",36.597159,-121.874248,"Public"
"Notre Dame de Namur University",37.517501,-122.284618,"Private"
"Occidental College",34.126224,-118.210783,"Private"
"Otis College of Art and Design",33.956607,-118.416615,"Private"
"Hope International University",33.87616,-117.88573,"Private"
"Palo Alto University",37.383251,-122.186022,"Private"
"Pacific Lutheran Theological Seminary",37.898172,-122.260201,"Private"
"Pacific Oaks College",34.153073,-118.151573,"Private"
"Pacific School of Religion",37.876599,-122.263331,"Private"
"Pacific States University",34.0607,-118.299841,"Private"
"Pacific Union College",38.57409,-122.449639,"Private"
"University of the Pacific",37.980624,-121.307296,"Private"
"Pepperdine University",34.041912,-118.707677,"Private"
"Pitzer College",34.103408,-117.705939,"Private"
"Point Loma Nazarene University",32.713295,-117.251204,"Private"
"Pomona College",34.098298,-117.711944,"Private"
"Pardee RAND Graduate School",34.009975,-118.49047,"Private"
"University of Redlands",34.063571,-117.163847,"Private"
"Dongguk UniversityLos Angeles",34.066226,-118.289927,"Private"
"Rudolf Steiner College",38.63481,-121.288571,"Private"
"Samuel Merritt University",37.82029,-122.266331,"Private"
"San Diego State University",32.77525,-117.071228,"Public"
"University of San Diego",32.77142,-117.188721,"Private"
"San Francisco Art Institute",37.803575,-122.417,"Private"
"San Francisco Conservatory of Music",37.775322,-122.420143,"Private"
"San Francisco State University",37.721345,-122.477905,"Public"
"San Francisco Theological Seminary",37.969594,-122.564302,"Private"
"University of San Francisco",37.775564,-122.450977,"Private"
"San Joaquin College of Law",36.823978,-119.6978,"Private"
"William Jessup University",38.819494,-121.292968,"Private"
"San Jose State University",37.335201,-121.881214,"Public"
"Santa Clara University",37.352706,-121.938189,"Private"
"Saybrook University",37.80446,-122.272391,"Private"
"Scripps College",34.103655,-117.711336,"Private"
"Shasta Bible College and Graduate School",40.564208,-122.315742,"Private"
"Trinity Law School",33.766071,-117.852059,"Private"
"Simpson University",40.61331,-122.333048,"Private"
"Saint Marys College of California",37.83997,-122.106795,"Private"
"Sonoma State University",38.341023,-122.673261,"Public"
"South Baylo University",33.847936,-117.958663,"Private"
"Vanguard University of Southern California",33.662686,-117.900911,"Private"
"St Johns Seminary",34.244034,-119.001395,"Private"
"Starr King School for the Ministry",37.876939,-122.261778,"Private"
"Marshall B Ketchum University",33.889819,-117.886158,"Private"
"Southern California Institute of Architecture",34.04365,-118.232703,"Private"
"University of Southern California",34.021058,-118.283858,"Private"
"Southwestern Law School",34.061558,-118.288375,"Private"
"Claremont School of Theology",34.107602,-117.715256,"Private"
"Thomas Aquinas College",34.429009,-119.087141,"Private"
"Epic Bible College",38.64499,-121.362221,"Private"
"The Santa Barbara and Ventura Colleges of Law at Ventura",34.257224,-119.233167,"Private"
"Westminster Theological Seminary in California",33.121447,-117.046371,"Private"
"Westmont College",34.449265,-119.661932,"Private"
"Whittier College",33.977625,-118.028402,"Private"
"Woodbury University",34.209226,-118.340692,"Private"
"The Wright Institute",37.868221,-122.253168,"Private"
"Thomas Jefferson School of Law",32.71014,-117.154191,"Private"
"Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary",34.085494,-118.346688,"Private"
"Adams State University",37.477238,-105.880943,"Public"
"University of Colorado DenverAnschutz Medical Campus",39.74603,-104.999181,"Public"
"University of Colorado Colorado Springs",38.892735,-104.800296,"Public"
"University of Colorado Boulder",40.004415,-105.267061,"Public"
"Colorado Christian University",39.711701,-105.094836,"Private"
"Colorado College",38.84657,-104.82422,"Private"
"Colorado Mountain College",39.54634,-107.324401,"Public"
"Colorado School of Mines",39.75079,-105.227148,"Public"
"Colorado State UniversityFort Collins",40.574759,-105.08083,"Public"
"CollegeAmericaDenver",39.691571,-104.94118,"Private"
"Denver Seminary",39.600595,-105.022363,"Private"
"University of Denver",39.695954,-104.964625,"Private"
